Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
GEV,241981210624,50.38785,48.083050847457635,0.18,,0.070700005,0.42641,0.929299995,0.39626281086795,Industrials
GEN,13043545088,21.804123,21.618556701030926,2.38,1.095,0.5155,0.26902,0.48450000000000004,0.13034019,Information Technology
GNRC,11968615424,75.81784,74.09293680297398,0.0,1.769,0.0,0.06283,1.0,0.06283,Industrials
GD,94493106176,22.604786,22.366106080206983,1.76,0.372,0.38830003,0.17658001,0.61169997,0.1080139868195997,Industrials
GIS,19995987968,8.059139,7.9591397849462355,6.59,-0.095,0.5204,0.23591,0.4796,0.11314243600000001,Consumer Staples
GM,71000072192,23.27523,22.26605504587156,0.99,1.356,0.1743,0.04318,0.8257,0.035653726000000004,Consumer Discretionary
GPC,14077766656,215.29788,205.06382978723406,4.41,0.734,8.766,0.015,-7.766,-0.11649,Consumer Discretionary
GILD,169776660480,20.17109,20.237463126843657,2.39,0.374,0.4661,0.40655,0.5339,0.21705704500000003,Health Care
GPN,19769427968,15.943566,15.462753950338602,1.46,0.732,0.22569999,0.04824,0.77430001,0.0373522324824,Financials
GL,10944603136,9.76456,9.715909090909092,0.96,0.455,0.076799996,0.20589,0.923200004,0.19007764882355999,Financials
GDDY,11391085568,13.551448,13.64790996784566,0.0,0.979,0.0,1.92901,1.0,,Information Technology
GS,250300825600,16.25823,15.84901616988116,2.21,1.336,0.2728,0.13861,0.7272000000000001,0.10079719200000002,Financials
HAL,31426338816,24.893333,24.353333333333335,1.86,0.753,0.45330003,0.12274,0.5466999699999999,0.06710195431779999,Energy
HIG,37749153792,10.161412,9.95870870870871,1.81,0.516,0.16219999,0.21656,0.83780001,0.1814339701656,Financials
HAS,13159746560,,,3.07,0.526,0.92410004,-0.36355,0.07589995999999999,-0.027593430457999994,Consumer Discretionary
HCA,111979937792,17.663315,17.420811287477953,0.63,1.342,0.1017,,0.8983,,Health Care
DOC,11989701632,172.45001,170.5,7.16,1.081,12.2003,0.01164,-11.2003,-0.130371492,Real Estate
HSIC,8642179072,22.449543,22.107033639143733,0.0,0.852,0.0,0.08701,1.0,0.08701,Health Care
HSY,43645440000,49.47816,48.308045977011496,2.76,0.112,1.2627,0.1889,-0.26269999999999993,-0.04962402999999999,Consumer Staples
HPE,29293582336,,,2.63,1.311,0.6118,-0.00471,0.3882,-0.001828422,Information Technology
HLT,70353477632,49.53846,47.88543371522094,0.21,1.123,0.098000005,,0.9019999949999999,,Consumer Discretionary
HOLX,16853875712,31.325726,31.290456431535265,0.0,0.728,0.0,0.108559996,1.0,0.108559996,Health Care
HD,329788063744,23.263693,22.524578651685392,2.91,1.044,0.6465,1.45541,0.35350000000000004,0.514487435,Consumer Discretionary
HON,142664695808,32.38528,31.962481962481963,2.15,0.904,0.65989995,0.26136,0.34010005,0.08888854906799999,Industrials
HRL,12282343424,25.078651,24.876404494382022,5.28,0.312,1.3061999,0.061160002,-0.30619989999999997,-0.018727186496399796,Consumer Staples
HST,13400816640,17.486364,16.90909090909091,4.3,1.154,0.72730005,0.11489,0.27269995,0.0313304972555,Real Estate
HWM,96100900864,64.529724,62.48918918918919,0.2,1.188,0.118599996,0.30443,0.881400004,0.26832460321771995,Industrials
HPQ,16849605632,6.952651,6.920454545454545,6.57,1.178,0.4425,,0.5575,,Information Technology
HUBB,26030311424,29.567936,28.72826086956522,1.19,0.997,0.32529998,0.24542,0.67470002,0.16558487890839999,Industrials
HUM,20146761728,16.977642,17.266260162601625,2.08,0.415,0.35979998,0.07039,0.64020002,0.0450636794078,Health Care
HBAN,31239229440,11.032374,10.85611510791367,4.11,0.967,0.44599998,0.10095,0.5540000199999999,0.05592630201899999,Financials
HII,15765553152,26.121262,26.52665799739922,1.35,0.28,0.35279998,0.124239996,0.64720002,0.08040812789599992,Industrials
IBM,231543062528,22.129148,21.68340807174888,2.78,0.706,0.6023,0.35158002,0.39770000000000005,0.13982337395400002,Information Technology
IEX,14166004736,29.525742,28.722308892355695,1.54,0.96,0.4399,0.1234,0.5601,0.06911634,Industrials
IDXX,46365679616,44.324432,44.065648854961836,0.0,1.696,0.0,0.66202,1.0,0.66202,Health Care
ITW,75579006976,24.999523,24.564346997140134,2.5,1.123,0.59290004,0.93718004,0.40709996000000004,0.38152595679679846,Industrials
INCY,18008819712,14.117004,14.162246489859594,0.0,0.844,0.0,0.2987,1.0,0.2987,Health Care
IR,32580802560,56.86896,56.13103448275862,0.1,1.289,0.0552,0.057729997,0.9448,0.054543301165599994,Industrials
PODD,15972817920,65.389046,65.44668587896253,0.0,1.435,0.0,0.18124,1.0,0.18124,Health Care
INTC,219513110528,,,0.0,1.375,0.0,0.00022,1.0,0.00022,Information Technology
IBKR,115442925568,30.585587,29.490990990990987,0.49,1.251,0.1363,0.23507999,0.8637,0.20303858736299998,Financials
ICE,89834479616,27.305891,27.457538994800696,1.31,1.051,0.3328,0.11885,0.6672,0.07929672,Financials
IFF,17506748416,,,2.4,1.005,1.6841999,-0.02559,-0.6841999000000001,0.017508675441,Materials
IP,18825285632,,,5.48,1.038,1.5812,-0.24678,-0.5811999999999999,0.143428536,Materials
INTU,126876286976,29.70293,29.678175895765474,1.02,1.282,0.2915,0.23457001,0.7085,0.166192852085,Information Technology
ISRG,171039080448,61.03549,60.57921419518378,0.0,1.68,0.0,0.16690001,1.0,0.16690001,Health Care
IVZ,10632642560,,,3.62,1.645,0.5646,-0.01219,0.4354,-0.005307526,Financials
INVH,15215171584,25.854166,25.40625,4.92,0.814,1.2188,0.060939997,-0.2188000000000001,-0.013333671343600008,Real Estate
IQV,28309354496,21.27806,21.182397959183675,0.0,1.411,0.0,0.21438,1.0,0.21438,Health Care
IRM,30420733952,209.85715,203.28571428571428,3.47,1.148,6.5694,,-5.5694,,Real Estate
JBHT,19529758720,33.51389,32.66830065359477,0.9,1.207,0.2876,0.15787,0.7123999999999999,0.11246658799999999,Industrials
JBL,28171352064,41.270737,39.69170579029734,0.13,1.183,0.050100002,0.59696996,0.949899998,0.5670617638100601,Information Technology
JKHY,11889753088,23.60273,23.76149425287356,1.42,0.726,0.33290002,0.24284,0.6670999799999999,0.1619985591432,Financials
J,15351480320,34.300793,33.889182058047496,1.12,0.734,0.3377,0.09726,0.6623,0.064415298,Industrials
JNJ,567037198336,21.312952,21.319746376811597,2.21,0.326,0.466,0.35029998,0.534,0.18706018932000001,Health Care
JCI,81628209152,44.753357,43.5234899328859,1.23,1.389,0.5168,0.12640001,0.48319999999999996,0.061076484832,Industrials
JPM,783838543872,14.509735,14.306540189715426,2.09,1.059,0.2897,0.16134001,0.7102999999999999,0.114599809103,Financials
KVUE,33916573696,23.282894,22.89473684210526,4.77,0.473,1.0855,0.14388,-0.08549999999999991,-0.012301739999999988,Consumer Staples
KDP,35889168384,17.264708,17.37908496732026,3.46,0.303,0.6013,0.08356,0.39870000000000005,0.033315372,Consumer Staples
